experiment_id,learning_rate,weight_decay,label_smoothing,batch_size,best_val_accuracy,test_accuracy,final_train_loss,epochs_trained,optimizer,log_file
42,0.0001,1e-05,0.01,64,57.0,56.120000000000005,1.2364260220730847,55,Adam,logs/task3/exp_42_lr0.0001_wd1e-05_ls0.01_bs64.log
43,0.0001,1e-05,0.1,4,67.28,67.44,1.102477581304974,47,Adam,logs/task3/exp_43_lr0.0001_wd1e-05_ls0.1_bs4.log
44,0.0001,1e-05,0.1,16,63.34,62.25000000000001,1.271171665767991,37,Adam,logs/task3/exp_44_lr0.0001_wd1e-05_ls0.1_bs16.log
45,0.0001,1e-05,0.1,64,57.7,58.13,1.4198564143682069,60,Adam,logs/task3/exp_45_lr0.0001_wd1e-05_ls0.1_bs64.log
46,0.0001,0.0001,0.0,4,65.52,65.60000000000001,0.8297815847582287,39,Adam,logs/task3/exp_46_lr0.0001_wd0.0001_ls0_bs4.log
47,0.0001,0.0001,0.0,16,61.8,61.77,1.0181555848845458,41,Adam,logs/task3/exp_47_lr0.0001_wd0.0001_ls0_bs16.log
48,0.0001,0.0001,0.0,64,56.36,55.87,1.2120095792819152,54,Adam,logs/task3/exp_48_lr0.0001_wd0.0001_ls0_bs64.log
49,0.0001,0.0001,0.01,4,66.26,66.25,0.8716087704764472,50,Adam,logs/task3/exp_49_lr0.0001_wd0.0001_ls0.01_bs4.log
50,0.0001,0.0001,0.01,16,63.16,62.739999999999995,1.0448730350112814,39,Adam,logs/task3/exp_50_lr0.0001_wd0.0001_ls0.01_bs16.log
51,0.0001,0.0001,0.01,64,58.1,58.25,1.1912617882375012,36,Adam,logs/task3/exp_51_lr0.0001_wd0.0001_ls0.01_bs64.log
52,0.0001,0.0001,0.1,4,67.4,66.60000000000001,1.1315292455514272,56,Adam,logs/task3/exp_52_lr0.0001_wd0.0001_ls0.1_bs4.log
53,0.0001,0.0001,0.1,16,62.22,62.56,1.286232771926023,40,Adam,logs/task3/exp_53_lr0.0001_wd0.0001_ls0.1_bs16.log
54,0.0001,0.0001,0.1,64,58.64,57.49999999999999,1.4255581537092274,46,Adam,logs/task3/exp_54_lr0.0001_wd0.0001_ls0.1_bs64.log
55,0.001,0.0,0.0,4,67.14,67.71000000000001,0.5872747643900634,45,Adam,logs/task3/exp_55_lr0.001_wd0_ls0_bs4.log
56,0.001,0.0,0.0,16,67.78,68.55,0.4197403910390071,49,Adam,logs/task3/exp_56_lr0.001_wd0_ls0_bs16.log
57,0.001,0.0,0.0,64,68.68,67.97,0.55347434096885,43,Adam,logs/task3/exp_57_lr0.001_wd0_ls0_bs64.log
58,0.001,0.0,0.01,4,67.3,66.66,0.5514387330088351,32,Adam,logs/task3/exp_58_lr0.001_wd0_ls0.01_bs4.log
